mag,depth,lat,lon,rad,pga,loc_encoded
3.1,16,-8.32,116.44,31,2,8
2.7,61,-2.95,101.85,43,2,13
3.5,28,-2.52,139.49,32,2,10
4.6,123,9.16,125.82,581,1,15
4.6,168,-7.65,128.54,100,2,14
3.2,10,-1.08,121.5,4,2,11
3.9,170,1.4,99.46,21,2,2
3.1,10,-9.15,110.41,130,2,30
3.6,10,-8.86,110.48,97,2,30
3.5,107,-8.48,112.24,38,2,31
3.4,10,-8.72,110.53,81,2,30
3.4,10,-8.72,110.51,81,2,30
4.5,10,-9.09,110.42,123,2,30
3.0,18,-10.12,120.63,14,2,7
4.3,10,-8.33,114.54,6,3,23
4.3,129,-8.53,122.89,25,2,7
5.3,134,-6.02,130.46,236,2,26
2.1,10,-2.94,119.46,15,2,32
3.1,11,-2.04,125.55,46,2,5
4.0,27,-4.48,102.45,46,2,13
3.0,26,-8.41,109.36,85,2,35
4.5,132,3.09,125.78,60,2,15
2.3,19,-6.99,106.74,21,2,4
2.0,24,-7.47,106.82,61,2,4
2.3,19,-6.99,106.74,21,2,4
3.8,10,0.18,125.68,134,2,15
3.5,10,-8.95,108.61,139,2,4
2.8,10,2.99,97.28,33,2,41
4.0,25,-7.71,129.34,178,2,14
3.4,23,0.68,129.34,112,2,5
4.8,23,7.58,126.13,402,2,15
3.6,126,-0.14,123.19,75,2,12
4.9,112,-8.63,112.23,55,2,31
4.8,87,-8.55,112.21,46,2,31
3.2,118,0.77,122.24,29,2,12
3.9,166,0.0,123.08,60,2,12
4.0,17,2.73,128.46,78,2,5
2.4,10,-2.08,120.26,38,2,17
3.4,36,-2.4,128.77,97,2,6
3.5,157,0.02,123.35,62,2,12
4.1,10,-9.9,106.85,304,2,4
3.7,10,-9.27,106.98,242,2,4
4.4,10,1.22,121.79,55,2,11
2.8,19,-0.75,119.8,36,2,11
2.2,17,-8.31,118.54,26,2,8
3.3,10,-0.3,127.32,43,2,5
4.5,142,-7.72,128.2,66,2,14
3.4,10,-8.31,107.3,138,2,4
3.7,57,0.73,121.82,33,2,12
3.8,25,-9.51,117.1,88,2,8
2.6,62,-8.43,108.75,83,2,35
4.6,131,-0.13,123.41,80,2,12
4.8,101,8.29,126.43,477,2,15
3.2,73,1.5,126.86,83,2,5
3.8,10,-3.17,130.82,37,2,6
2.7,71,2.37,98.5,29,2,2
3.2,10,-0.74,121.69,43,2,11
2.6,10,-1.29,120.51,29,2,11
4.3,138,-7.55,129.25,175,2,14
2.6,181,-8.54,121.4,18,2,7
2.6,33,-9.52,117.01,86,2,8
3.1,21,-7.9,118.68,61,2,8
3.2,13,-7.92,117.51,64,2,8
3.9,21,3.99,126.56,13,2,15
4.8,10,-3.19,115.12,19,2,42
5.1,12,5.07,125.32,163,2,15
5.1,12,5.07,125.32,163,2,15
1.4,109,-7.49,107.51,52,2,4
5.7,179,-6.39,130.18,215,2,27
5.3,179,-6.39,130.18,215,2,26
3.7,12,-6.62,104.36,131,2,16
3.0,10,-0.66,123.54,91,2,11
2.9,27,2.08,97.85,29,2,37
2.8,85,-8.84,124.28,67,2,7
4.5,10,6.37,125.72,284,2,15
2.9,18,0.26,96.75,111,2,2
4.3,71,-6.51,129.51,257,2,27
2.8,10,-1.27,120.74,13,2,11
3.7,10,0.76,129.07,86,2,5
3.0,12,-8.12,107.35,117,2,4
3.6,24,-7.64,106.88,80,2,4
2.7,13,-2.67,120.4,43,2,17
2.4,10,-9.79,124.65,25,2,7
2.3,12,-1.79,133.43,17,2,1
4.0,63,-7.82,118.44,76,2,8
2.4,10,-0.12,100.3,22,2,21
3.2,113,0.36,121.98,11,2,12
3.6,25,1.43,126.35,130,2,5
4.7,118,5.85,126.47,206,2,15
4.2,10,-2.18,140.1,93,2,10
5.3,41,7.54,125.64,409,2,15
2.4,10,-8.85,116.96,15,2,8
5.2,10,-0.05,135.93,82,2,10
3.2,57,-9.12,112.54,109,2,31
3.2,27,1.82,126.37,144,2,15
3.0,40,-9.28,114.03,121,2,23
2.9,24,-8.08,122.9,26,2,7
2.5,10,-9.92,121.81,70,2,7
5.1,211,-5.22,129.64,226,2,3
3.5,10,-3.17,130.8,35,2,6
3.5,13,0.91,126.41,107,2,5
3.5,10,-0.05,124.85,93,2,15
4.7,10,9.21,126.43,579,1,15
3.7,11,-3.21,130.82,38,2,6
3.9,10,-3.16,130.79,34,2,6
4.7,10,6.4,125.92,279,2,15
5.3,18,-3.23,130.82,39,2,6
5.3,18,-3.23,130.82,39,2,6
4.5,17,-7.73,106.86,89,2,4
3.1,232,-0.02,122.21,60,2,12
3.5,110,-8.7,118.91,31,2,8
3.5,47,0.6,122.52,20,2,12
3.4,34,4.07,95.96,20,2,43
4.2,170,2.61,99.02,32,2,2
4.1,153,0.18,123.55,53,2,15
2.9,72,0.24,123.99,15,2,15
4.3,117,-5.27,131.66,127,2,38
1.9,48,-3.45,135.48,30,2,10
3.1,14,-7.89,117.55,68,2,8
3.5,10,-8.47,105.72,181,2,22
5.3,10,8.66,127.11,520,2,15
5.2,10,9.13,127.06,571,2,15
3.0,10,-2.44,121.19,16,2,17
3.3,13,-3.41,118.84,34,2,32
3.9,64,-4.3,131.13,150,2,6
4.2,10,-0.44,124.28,96,2,15
4.8,13,7.73,127.02,416,2,15
2.7,10,-7.67,106.76,79,2,4
2.6,10,-8.39,121.56,42,2,7
3.4,106,1.66,127.06,68,2,5
3.3,86,0.0,124.72,85,2,15
2.0,57,2.87,97.88,28,2,24
